time;duration;id;artist;title;hook;cover
2024-11-19 00:00:01;209;30728986;Blondie;Heart of glass;https://hooksswr-a.akamaihd.net/99005/M0024983.010.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.5487097?stationid=28466
2024-11-19 00:04:07;232;30728995;Depeche Mode;People are people;https://hooksswr-a.akamaihd.net/99005/M0538780.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46172007?stationid=28466
2024-11-19 00:07:58;273;30729003;Sheryl Crow;All I wanna do;https://hooksswr-a.akamaihd.net/99005/M0001944.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4005105?stationid=28466
2024-11-19 00:12:25;159;30729017;Westernhagen;Freiheit (Live);https://hooksswr-a.akamaihd.net/99005/M0000303.017.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.3623189?stationid=28466
2024-11-19 00:15:06;258;30729018;Mother's Finest;Baby love;https://hooksswr-a.akamaihd.net/99005/M0036482.005.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6308784?stationid=28466
2024-11-19 00:20:22;196;30729029;Milow;You and me (in my pocket);https://hooksswr-a.akamaihd.net/99005/M0276273.003.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.22631787?stationid=28466
2024-11-19 00:24:29;253;30729030;Cock Robin;Just around the corner;https://hooksswr-a.akamaihd.net/99005/M0002469.004.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4051277?stationid=28466
2024-11-19 00:28:31;241;30729045;Robbie Williams;No regrets;https://hooksswr-a.akamaihd.net/99005/M0020429.006.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4991123?stationid=28466
2024-11-19 00:32:57;252;30729052;Tom Petty and The Heartbreakers;Free fallin';https://hooksswr-a.akamaihd.net/99005/M0508221.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.45952866?stationid=28466
2024-11-19 00:40:42;229;30729062;Annie Lennox & Al Green;Put a little love in your heart;https://hooksswr-a.akamaihd.net/99005/M0002304.005.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6815878?stationid=28466
