time;duration;id;artist;title;hook;cover
2025-04-19 00:03:39;177;31391885;Leony;By your side (In my mind);https://hooksswr-a.akamaihd.net/28468/2174383.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53578286?stationid=28468
2025-04-19 00:06:35;245;31391890;Flo Rida;Good feeling;https://hooksswr-a.akamaihd.net/28468/M0287705.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.26015700?stationid=28468
2025-04-19 00:10:41;150;31391896;Felix Jaehn & Shouse;Walk with me;https://hooksswr-a.akamaihd.net/28468/2160608.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53553773?stationid=28468
2025-04-19 00:15:07;187;31391905;Vella;All my love;https://hooksswr-a.akamaihd.net/28468/2178669.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53582377?stationid=28468
2025-04-19 00:18:12;166;31391915;Spice Girls;Spice up your life;https://hooksswr-a.akamaihd.net/28468/M0081650.007.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.8658221?stationid=28468
2025-04-19 00:20:58;188;31391922;Jason Derulo;Take you dancing;https://hooksswr-a.akamaihd.net/28468/M0597899.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47202609?stationid=28468
2025-04-19 00:24:49;238;31391923;Nickelback;Gotta be somebody;https://hooksswr-a.akamaihd.net/28468/M0100751.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.9289295?stationid=28468
2025-04-19 00:28:45;143;31391934;Artemas;I like the way you kiss me;https://hooksswr-a.akamaihd.net/28468/2028366.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52650278?stationid=28468
2025-04-19 00:32:07;155;31391940;Robin Schulz x FAST BOY;Million good reasons;https://hooksswr-a.akamaihd.net/28468/2196466.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53596997?stationid=28468
2025-04-19 00:34:10;196;31391944;BTS;Dynamite;https://hooksswr-a.akamaihd.net/28468/M0599679.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47249052?stationid=28468
2025-04-19 00:37:24;214;31391950;Camila Cabello;Crying in the club;https://hooksswr-a.akamaihd.net/28468/M0481408.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.45631881?stationid=28468
2025-04-19 00:42:04;147;31391957;Marc Atlas;Fool;https://hooksswr-a.akamaihd.net/28468/2215629.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53596995?stationid=28468
2025-04-19 00:44:30;245;31391964;Ultravox;Dancing with tears in my eyes;https://hooksswr-a.akamaihd.net/28468/M0560373.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46617940?stationid=28468
2025-04-19 00:48:25;208;31391970;Purple Disco Machine X Ásdís;Beat of your heart;https://hooksswr-a.akamaihd.net/28468/1990299.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52199150?stationid=28468
2025-04-19 00:53:08;262;31391978;Justin Timberlake;Rock your body;https://hooksswr-a.akamaihd.net/28468/M0421764.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.44972039?stationid=28468
2025-04-19 00:57:19;154;31391986;Lost Frequencies X Elley Duhé X X Ambassadors;Back to you;https://hooksswr-a.akamaihd.net/28468/1774701.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50189514?stationid=28468
2025-04-19 01:03:52;201;31391998;Lola Young;Messy;https://hooksswr-a.akamaihd.net/28468/2173105.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53576832?stationid=28468
2025-04-19 01:07:50;232;31392002;3 Doors Down;Kryptonite;https://hooksswr-a.akamaihd.net/28468/M0517223.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46081048?stationid=28468
2025-04-19 01:11:19;170;31392006;Alok x Sigala x Ellie Goulding;All by myself;https://hooksswr-a.akamaihd.net/28468/1738445.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.49856113?stationid=28468
2025-04-19 01:15:01;276;31392008;Lukas Graham feat. Mickey Guyton;Home movies;https://hooksswr-a.akamaihd.net/28468/1792919.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50218085?stationid=28468
2025-04-19 01:19:37;238;31392014;Bruce Springsteen;Dancing in the dark;https://hooksswr-a.akamaihd.net/28468/M0002523.011.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4052009?stationid=28468
2025-04-19 01:23:20;209;31392018;Dasha;Not at this party;https://hooksswr-a.akamaihd.net/28468/2204205.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53611683?stationid=28468
2025-04-19 01:26:48;208;31392022;Max Giesinger;Wenn sie tanzt;https://hooksswr-a.akamaihd.net/28468/M0445566.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.45209161?stationid=28468
2025-04-19 01:31:14;130;31392027;Tate McRae;Greedy;https://hooksswr-a.akamaihd.net/28468/1935640.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.51276203?stationid=28468
2025-04-19 01:34:08;230;31392030;Pharrell Williams;Happy;https://hooksswr-a.akamaihd.net/28468/M0349772.004.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.42231875?stationid=28468
2025-04-19 01:40:33;155;31392035;Benson Boone;Sorry I'm here for someone else;https://hooksswr-a.akamaihd.net/28468/2205777.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53611557?stationid=28468
2025-04-19 01:43:06;213;31392042;The KLF featuring The Children Of The Revolution;3 a.m. eternal;https://hooksswr-a.akamaihd.net/28468/M0251961.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.15573101?stationid=28468
2025-04-19 01:46:39;147;31392045;Mark Ambor;Belong together;https://hooksswr-a.akamaihd.net/28468/2026939.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52629709?stationid=28468
2025-04-19 01:48:58;151;31392048;Alle Farben x Graham Candy x Lahos;Flowers;https://hooksswr-a.akamaihd.net/28468/2203003.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53602144?stationid=28468
2025-04-19 01:51:17;176;31392053;Shakira feat. Wyclef Jean;Hips don't lie;https://hooksswr-a.akamaihd.net/28468/M0048615.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.7289547?stationid=28468
2025-04-19 01:54:12;161;31392057;Rea Garvey & VIZE;The one;https://hooksswr-a.akamaihd.net/28468/M0626395.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47426735?stationid=28468
2025-04-19 01:56:38;198;31392059;Kelly Clarkson;Heartbeat song;https://hooksswr-a.akamaihd.net/28468/M0384642.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.44344335?stationid=28468
2025-04-19 02:04:35;163;31392066;Gracie Abrams;That's so true;https://hooksswr-a.akamaihd.net/28468/2139217.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53321214?stationid=28468
2025-04-19 02:07:15;177;31392071;Dominic Fike;3 nights;https://hooksswr-a.akamaihd.net/28468/M0557300.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46557944?stationid=28468
2025-04-19 02:10:03;160;31392074;P!nk;Runaway;https://hooksswr-a.akamaihd.net/28468/1882295.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50866476?stationid=28468
2025-04-19 02:12:42;155;31392079;Alvaro Soler;Con calma;https://hooksswr-a.akamaihd.net/28468/2209275.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53616617?stationid=28468
2025-04-19 02:15:14;233;31392081;Kiss;God gave Rock and Roll to you 2;https://hooksswr-a.akamaihd.net/28468/M0259653.020.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.17995340?stationid=28468
2025-04-19 02:21:15;139;31392089;24kGoldn feat. Iann Dior;Mood;https://hooksswr-a.akamaihd.net/28468/M0598154.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47216053?stationid=28468
2025-04-19 02:23:27;221;31392092;Frank Popp Ensemble;Hip teens don't wear blue jeans;https://hooksswr-a.akamaihd.net/28468/M0003323.007.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4170532?stationid=28468
2025-04-19 02:26:52;194;31392095;Miley Cyrus;Flowers;https://hooksswr-a.akamaihd.net/28468/1790534.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50228589?stationid=28468
2025-04-19 02:31:01;148;31392098;Zoe Wees;Traitor;https://hooksswr-a.akamaihd.net/28468/2181000.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53581296?stationid=28468
2025-04-19 02:33:02;171;31392104;Wincent Weiss & Johannes Oerding;Die guten Zeiten;https://hooksswr-a.akamaihd.net/28468/M0673289.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47902227?stationid=28468
2025-04-19 02:35:37;171;31392108;Frenship & Emily Warren;Capsize;https://hooksswr-a.akamaihd.net/28468/M0439115.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.45144170?stationid=28468
2025-04-19 02:40:29;181;31392112;James Bay feat. Jon Batiste;Sunshine in the room;https://hooksswr-a.akamaihd.net/28468/2186868.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53591562?stationid=28468
2025-04-19 02:43:28;283;31392118;Bill Medley & Jennifer Warnes;I've had the time of my life;https://hooksswr-a.akamaihd.net/28468/M0412364.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.44870171?stationid=28468
2025-04-19 02:48:07;175;31392122;Sophie And The Giants;Shut up and dance;https://hooksswr-a.akamaihd.net/28468/2051673.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52711081?stationid=28468
2025-04-19 02:50:57;173;31392126;Ne-Yo;Closer;https://hooksswr-a.akamaihd.net/28468/M0089119.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.9046710?stationid=28468
2025-04-19 02:53:20;181;31392131;Loi;Left in your love;https://hooksswr-a.akamaihd.net/28468/2157735.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53549865?stationid=28468
2025-04-19 02:55:59;244;31392132;Harry Styles;Sign of the times;https://hooksswr-a.akamaihd.net/28468/M0477724.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.45593654?stationid=28468
2025-04-19 03:03:53;175;31392139;Nico Santos;Ray of light;https://hooksswr-a.akamaihd.net/28468/2138873.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53427794?stationid=28468
2025-04-19 03:06:49;195;31392143;Madonna;Hung up;https://hooksswr-a.akamaihd.net/28468/M0039895.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6527248?stationid=28468
2025-04-19 03:09:55;236;31392144;Jaymes Young;Infinity;https://hooksswr-a.akamaihd.net/28468/M0680754.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.48775649?stationid=28468
2025-04-19 03:13:37;178;31392149;Kygo X OneRepublic;Chasing paradise;https://hooksswr-a.akamaihd.net/28468/2200451.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53586175?stationid=28468
2025-04-19 03:18:12;255;31392153;Gary Moore;Out in the fields;https://hooksswr-a.akamaihd.net/28468/M0023751.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6287801?stationid=28468
2025-04-19 03:23:03;160;31392158;Carstn;Start again;https://hooksswr-a.akamaihd.net/28468/2204087.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53587647?stationid=28468
2025-04-19 03:25:42;209;31392164;Crystal Fighters;You & I;https://hooksswr-a.akamaihd.net/28468/M0330929.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.39970600?stationid=28468
2025-04-19 03:25:41;238;31392165;Olivia Rodrigo;Driver’s license;https://hooksswr-a.akamaihd.net/28468/M0627887.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47502646?stationid=28468
2025-04-19 03:29:56;209;31392167;Damiano David;Born with a broken heart;https://hooksswr-a.akamaihd.net/28468/2135426.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53403603?stationid=28468
2025-04-19 03:33:24;187;31392171;Nico & Vinz;Am I wrong;https://hooksswr-a.akamaihd.net/28468/M0350781.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.42393073?stationid=28468
2025-04-19 03:36:20;156;31392177;David Guetta x Alphaville x Ava Max;Forever young;https://hooksswr-a.akamaihd.net/28468/2136789.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53317622?stationid=28468
2025-04-19 03:41:12;253;31392180;Enigma;Sadeness (Part 1);https://hooksswr-a.akamaihd.net/28468/M0069037.007.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.7952892?stationid=28468
2025-04-19 03:45:23;193;31392187;Linkin Park;Lost;https://hooksswr-a.akamaihd.net/28468/1806062.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50357271?stationid=28468
2025-04-19 03:48:25;145;31392191;R3hab x Michael Patrick Kelly x Shaggy;Rebellion;https://hooksswr-a.akamaihd.net/28468/2200359.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53602142?stationid=28468
2025-04-19 03:51:55;182;31392196;The Pussycat Dolls feat. Busta Rhymes;Don't cha;https://hooksswr-a.akamaihd.net/28468/M0517591.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46086076?stationid=28468
2025-04-19 03:54:42;169;31392200;Imagine Dragons x J.I.D;Enemy;https://hooksswr-a.akamaihd.net/28468/M0678687.002.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.48457180?stationid=28468
2025-04-19 03:56:36;207;31392205;Jonas Blue feat. Dakota;Fast car;https://hooksswr-a.akamaihd.net/28468/M0418237.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.44929751?stationid=28468
2025-04-19 04:04:21;184;31392211;Alex Warren;Ordinary;https://hooksswr-a.akamaihd.net/28468/2200476.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53598319?stationid=28468
2025-04-19 04:07:22;283;31392220;Adele;When we were young;https://hooksswr-a.akamaihd.net/28468/M0422704.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.44983835?stationid=28468
2025-04-19 04:11:58;184;31392223;Michael Schulte;Beautiful reason;https://hooksswr-a.akamaihd.net/28468/2066169.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52723517?stationid=28468
2025-04-19 04:15:02;169;31392228;Lost Frequencies;Love is the only thing;https://hooksswr-a.akamaihd.net/28468/2145562.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53451990?stationid=28468
2025-04-19 04:19:18;247;31392232;Bryan Adams;Everything I do (I do it for you);https://hooksswr-a.akamaihd.net/28468/M0002232.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.6787206?stationid=28468
2025-04-19 04:23:24;205;31392237;Tate McRae;She's all I wanna be;https://hooksswr-a.akamaihd.net/28468/M0681941.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.49054629?stationid=28468
2025-04-19 04:26:48;257;31392242;Train;Drops of Jupiter (Tell me);https://hooksswr-a.akamaihd.net/28468/M0269388.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.21238535?stationid=28468
2025-04-19 04:32:06;151;31392246;Marshmello & Jonas Brothers;Slow Motion;https://hooksswr-a.akamaihd.net/28468/2177449.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53582275?stationid=28468
2025-04-19 04:34:23;222;31392249;Lady Gaga;Hold my hand;https://hooksswr-a.akamaihd.net/28468/M0684566.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.49252436?stationid=28468
2025-04-19 04:37:59;199;31392260;Cris Cab;Liar liar;https://hooksswr-a.akamaihd.net/28468/M0350964.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.42452759?stationid=28468
2025-04-19 04:42:52;206;31392262;Jack Curley;Why does it feel so good;https://hooksswr-a.akamaihd.net/28468/2224178.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53623834?stationid=28468
2025-04-19 04:41:32;181;31392266;Jack Curley;Better with you;https://hooksswr-a.akamaihd.net/28468/1984985.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.51986811?stationid=28468
2025-04-19 04:41:47;196;31392267;Jack Curley;I'm here for you;https://hooksswr-a.akamaihd.net/28468/M0601705.001.m.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.47290961?stationid=28468
2025-04-19 04:46:15;216;31392272;A Flock Of Seagulls;I ran;https://hooksswr-a.akamaihd.net/28468/M0559548.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46602370?stationid=28468
2025-04-19 04:50:28;155;31392276;Ofenbach feat. Norma Jean Martine;Overdrive;https://hooksswr-a.akamaihd.net/28468/1960777.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.51295447?stationid=28468
2025-04-19 04:53:23;261;31392281;Robbie Williams;Feel;https://hooksswr-a.akamaihd.net/28468/M0001672.002.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.3969296?stationid=28468
2025-04-19 04:57:38;135;31392285;Toby Romeo x Younotus;What it feels like;https://hooksswr-a.akamaihd.net/28468/1844147.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.50668668?stationid=28468
2025-04-19 05:03:49;159;31392291;Glockenbach x Chris de Sarandy;Magic Moment;https://hooksswr-a.akamaihd.net/28468/2019514.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52450242?stationid=28468
2025-04-19 05:06:25;206;31392296;No Doubt;Hey baby;https://hooksswr-a.akamaihd.net/28468/M0517230.001.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.46081064?stationid=28468
2025-04-19 05:09:48;208;31392302;Billie Eilish;Birds of a feather;https://hooksswr-a.akamaihd.net/28468/2081603.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.52749002?stationid=28468
2025-04-19 05:14:25;159;31392314;Ed Sheeran;Azizam;https://hooksswr-a.akamaihd.net/28468/2222580.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.53637599?stationid=28468
2025-04-19 05:17:03;230;31392324;Nena;99 Luftballons;https://hooksswr-a.akamaihd.net/28468/M0006310.006.mp3;https://onair.swr.de/covers/swr/swrhfdb1.KONF.4615182?stationid=28468
